Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,suma,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,,%Toxicos
59,5.9,11900,8,3.62986560627284,11976.5298656063,1398,90629,11283,7674,0,0,,18994,3837,4.1,5.1,1169,,16.3,293,456,169,149471,,36847,0,130,97,52,14,,,0,0,5662,1,18,293,0,0,0.2,0.366132723112128,293,0,0,0,0,1,0,1,13618,13110,0,1,355537.066132723,2
172,4.52631578947368,11841,16,1.08925144873707,12034.6155672382,1398,90539,11275,7695,0,0,,18975,3833,4.1,5.2,1169,,16.2,292,459,168,149369,,36818,0,130,97,51,14,,,0,0,5642,1,18,292,0,0,0.2,0.155038759689922,292,0,0,0,0,1,0,1,13595,18060,0,1,360210.85503876,2
94,13.4285714285714,11669,9,2.6141892382543,11788.0427606668,1388,89776,11224,7663,0,0,,18856,3884,4.1,5.2,1162,,16.2,383,449,167,148431,,36508,1,130,121,49,82,,,0,0,6493,1,18,383,0,0,0.2,0.0823487289652703,383,0,0,0,0,1,0,1,13506,83790,0,1,424876.782348729,2
90,6.92307692307692,11575,13,1.80590333105698,11686.7289802541,1384,89440,11186,7642,0,0,,18799,3876,4.2,5.2,1159,,16.2,383,446,167,147954,,36379,1,132,119,48,83,,,0,0,6523,1,18,383,0,0,0.2,0.100783874580067,383,0,0,0,0,1,0,1,13448,107160,0,1,447142.900783875,2
1214,4.00660066006601,11485,48,0.162292813307842,12751.1688934734,1384,89444,11186,7642,0,0,,18814,3876,4.2,5.2,1159,,16.2,383,446,167,147961,,36383,1,132,119,48,83,,,0,0,6523,1,18,383,0,0,0.2,0.107719928186715,383,0,0,0,0,1,0,1,13460,100260,0,1,440284.907719928,2
2,2,10271,1,100,10376,1297,83888,10324,7154,0,0,,17592,3335,3.8,5.2,1092,,16.1,680,442,165,138672,,34514,1,176,341,79,83,,,0,0,13220,1,3,680,0,0,0.5,0,620,0,22,0,660,3,570,2,12954,3960,0,1,332556.6,2
41,1.20588235294118,10269,10,4.45145135862005,10325.6573337116,1297,83849,10322,7154,0,0,,17583,3333,3.8,5.2,1092,,16.1,680,442,165,138626,,34493,1,176,341,79,83,,,0,0,13220,1,3,680,0,0,0.5,0,620,0,22,0,660,3,570,2,12929,4770,0,1,333222.6,2
100,2.38095238095238,10228,13,2.21273913148898,10345.5936915124,1293,83480,10264,7118,0,0,,17485,3299,3.8,5.2,1089,,16.1,628,435,163,138048,,34358,1,149,317,79,82,,,0,0,12738,1,3,628,0,0,0.5,1.02929532858274,590,0,0,0,0,1,570,2,12877,12630,0,1,338355.629295329,2
56,3.73333333333333,10128,11,3.19837878320631,10201.9317121165,1293,83443,10258,7122,0,0,,17472,3289,3.8,5.2,1089,,16.1,638,435,163,137981,,34343,1,149,326,80,82,,,0,0,12815,1,3,638,0,0,0.5,0.759715380405036,598,0,2,0,30,3,570,2,12877,91350,0,1,417080.35971538,2
226,8.69230769230769,10072,13,1.34534061483978,10321.0376483071,1294,83455,10271,7131,0,0,,17486,3272,3.8,5.2,1090,,16.1,630,435,165,137994,,34331,1,149,328,82,70,,,0,0,12719,1,3,630,0,0,0.5,0.646532438478747,590,0,2,0,30,3,570,2,12872,89400,0,1,415033.246532438,3
882,3.7531914893617,9846,49,0.241631436921508,10780.9948229263,1293,84136,10326,12055,0,0,,17681,3328,3.8,8.7,1091,,16.2,1204,703,262,138900,,34740,1,384,463,311,45,,,0,0,21895,1,3,1204,0,0,0.9,1.42999714856002,1137,0,28,0,720,3,575,4,13086,70140,0,1,415751.029997149,2
0,0,8964,0,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,3.65625,8964,15,1.61814320113852,9101.27439320114,1262,83527,10156,13119,0,0,,17582,4182,4.8,9,1067,247,16.5,1049,750,292,138746,,34750,1,382,476,174,16,,,0,0,21944,1,3,1049,0,0,0.9,0.859106529209622,986,0,30,0,745,3,495,2,13259,8730,0,0,355057.059106529,2
50,3.33333333333333,8847,10,4.27070645554202,8914.60403978888,1262,83463,10150,13099,0,0,,17565,4195,4.8,9.6,1067,247,16.5,1050,747,291,130204,,34720,1,382,477,174,16,,,0,0,21899,1,3,1050,0,0,0.9,0.377041306436119,987,0,30,0,745,3,495,2,13245,41640,0,0,379242.177041307,2
